Term,Role,numdocs
a bit,Adv,8
a fortiori,Adv,18
a lot,Adv,89
a lot of,Adj,47
a posteriori,Adj,40
a posteriori,Adv,64
a priori,Adj,24
a priori,Adv,51
according to,Prep,5385
ad hoc,Adj,446
ad interim,Adv,9
ahead of,Prep,107
all the time,Adv,20
along with,Prep,319
any moment,Adv,56
any second,Adv,2
apart from,Prep,567
as a result of,Prep,2190
as a rule,Adv,192
as far as,Conj,560
as far as,Prep,1377
as for,Prep,507
as if,Conj,216
as in,Prep,795
as long as,Conj,634
as many as,Adv,25
as of,Prep,638
as one,Adv,517
as per,Prep,87
as regards,Prep,6167
as soon as,Conj,2116
as though,Conj,31
as to,Prep,2560
as well,Adv,379
as well as,Conj,4490
as yet,Adv,113
aside from,Prep,18
assuming that,Conj,78
at all,Adv,1293
at any rate,Adv,34
at least one,Adj,1427
at once,Adv,55
at the expense of,Prep,163
at variance with,Prep,22
away from,Prep,262
back of,Prep,104
bear up,Verb,6
because of,Prep,1502
best known,Adj,8
black and white,Adj,50
bona fide,Adj,41
break up,Verb,12
bring about,Verb,291
bring up,Verb,15
build up,Verb,145
but for,Prep,149
by dint of,Prep,8
by itself,Adv,101
by means of,Prep,2404
by proxy,Adv,5
by reason of,Prep,709
by the way,Adv,16
by virtue of,Prep,1069
by way of,Prep,2127
carry on,Verb,132
carry out,Verb,2635
carry through,Verb,13
catch on,Verb,19
central african,Adj,8
clean up,Verb,10
clear up,Verb,2
close by,Adv,10
close to,Adv,547
come about,Verb,6
come in,Verb,31
come on,Verb,11
considering that,Conj,225
costa rican,Adj,3
cover up,Verb,26
cut off,Verb,51
dare to,Aux,2
dark blue,Adj,7
de facto,Adj,87
de facto,Adv,123
de jure,Adj,21
de jure,Adv,35
devoid of,Prep,27
draw down,Verb,2
due to,Prep,2584
east german,Adj,2
edge in,Verb,7
egg on,Verb,2
en bloc,Adv,7
en masse,Adv,2
en route,Adv,67
et al.,Abbr,71
et cetera,Adv,9
even if,Conj,1021
even though,Conj,438
ever expanding,Adj,2
ex officio,Adj,14
ex officio,Adv,32
ex parte,Adj,3
ex parte,Adv,2
except for,Prep,1201
exclusive of,Prep,66
fall away,Verb,2
fall back,Verb,21
fill in,Verb,73
filled up,Adj,7
find out,Verb,65
fine tune,Verb,2
fit in,Verb,21
for all that,Conj,4
for sake of,Prep,2
for the sake of,Prep,301
for want of,Prep,14
give away,Verb,3
give in,Verb,7
give up,Verb,33
given that,Conj,828
go ahead,Verb,22
granting that,Conj,5
great deal,Adv,46
grow up,Verb,3
hand out,Verb,2
hand over,Verb,25
high income,Adj,7
high quality,Adj,442
hold back,Verb,41
hold up,Verb,8
hoped for,Adj,6
how many,Pron,64
how much,Pron,69
in absentia,Adv,12
in accordance with,Prep,14620
in addition,Adv,2629
in addition to,Prep,2055
in aid of,Prep,3
in case,Conj,443
in case of,Prep,1175
in charge of,Prep,341
